"variable","variable_label","value","value_label"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",5,"5"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",6,"6"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",7,"Sehr gut  7"
"F800_9","Verantwortung und Gestaltungsspielraum",1,"Überhaupt nicht gut  1"
"F800_9","Verantwortung und Gestaltungsspielraum",2,"2"
"F800_9","Verantwortung und Gestaltungsspielraum",3,"3"
"F800_9","Verantwortung und Gestaltungsspielraum",4,"4"
"F800_9","Verantwortung und Gestaltungsspielraum",5,"5"
"F800_9","Verantwortung und Gestaltungsspielraum",6,"6"
"F800_9","Verantwortung und Gestaltungsspielraum",7,"Sehr gut  7"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",1,"Überhaupt nicht gut  1"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",2,"2"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",3,"3"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",4,"4"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",5,"5"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",6,"6"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",7,"Sehr gut  7"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",1,"Überhaupt nicht gut  1"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",2,"2"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",3,"3"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",4,"4"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",5,"5"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",6,"6"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",7,"Sehr gut  7"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",1,"Überhaupt nicht gut  1"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",2,"2"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",3,"3"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",4,"4"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",5,"5"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",6,"6"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",7,"Sehr gut  7"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",1,"Überhaupt nicht gut  1"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",2,"2"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",3,"3"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",4,"4"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",5,"5"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",6,"6"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",7,"Sehr gut  7"
"F800_14","Diversität, Gleichstellung und Inklusion",1,"Überhaupt nicht gut  1"
"F800_14","Diversität, Gleichstellung und Inklusion",2,"2"
"F800_14","Diversität, Gleichstellung und Inklusion",3,"3"
"F800_14","Diversität, Gleichstellung und Inklusion",4,"4"
"F800_14","Diversität, Gleichstellung und Inklusion",5,"5"
"F800_14","Diversität, Gleichstellung und Inklusion",6,"6"
"F800_14","Diversität, Gleichstellung und Inklusion",7,"Sehr gut  7"
